EquipID,System,EquipType,Point Name,Descriptor,Function,Point Type,Engineering Units,Slope,Intercept,Sensor Type,COV Trend,Collection,Panel Samples,PC Samples,COV Limit,Trend Interval 1,Collection 1,Panel Samples 1,PC Days 1,Trend Interval 2,Collection 2,Panel Samples 2,PC Days 2,Trend Interval 3,Collection 3,Panel Samples 3,PC Days 3,Trend Interval 4,Collection 4,Panel Samples 4,PC Days 4,EquipRef,Display Mode,BLN Type,BLN Sys Name,Node Identifer,Device Sys Name,BACnet Object type,BACnet Object Instance,BACnet Object Name,BACnet Device Instance,Address Type DHCP?,IP address,UDP port,BACnet network,MSTP Address,MSTP network,Apogee Pt type,Virtual,IP Port,Insight Node Number,FLN Device Sys Name,LocalRef,AppInstanceID,Medium,Memo
Heating Distribution,Heating,Heating Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixing Circuit,Heating,Mixing Circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating Distribution,,,,,,,,,,,,,,,,,,,,,,,,
Cooling Plant,Cooling,Cooling Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chillers,Cooling,Chillers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling Plant,,,,,,,,,,,,,,,,,,,,,,,,
Chiller,Cooling,Chiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chillers,,,,,,,,,,,,,,,,,,,,,,,,
Heat Exchanger,Heating,Heat Exchanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling Plant,,,,,,,,,,,,,,,,,,,,,,,,
Cooling Towers,Cooling,Cooling Towers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling Plant,,,,,,,,,,,,,,,,,,,,,,,,
Cooling Tower,Cooling,Cooling Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling Towers,,,,,,,,,,,,,,,,,,,,,,,,
Condenser Water Pump,Cooling,Condenser Water Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling Plant,,,,,,,,,,,,,,,,,,,,,,,,
Primary Chilled Water Pump,Cooling,Primary Chilled Water Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling Plant,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Chilled Water Pump,Cooling,Secondary Chilled Water Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling Plant,,,,,,,,,,,,,,,,,,,,,,,,
Cooling Distribution,Cooling,Cooling Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixing Circuit,Cooling,Mixing Circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling Distribution,,,,,,,,,,,,,,,,,,,,,,,,
Air Handling Unit,Air Distribution,Air Handling Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust Fan,Air Distribution,Exhaust Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Handling Unit,,,,,,,,,,,,,,,,,,,,,,,,
VAV Box,Air Distribution,VAV Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Handling Unit,,,,,,,,,,,,,,,,,,,,,,,,
Zone Unit,Air Distribution,Zone Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Handling Unit,,,,,,,,,,,,,,,,,,,,,,,,
Fan Coil Unit,Air Distribution,Fan Coil Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Handling Unit,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust Fan,Air Distribution,Exhaust Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Space,Space,Office Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Space,Space,General Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
